model,temperature,n_samples,mean_seq_recovery,mean_score_nll,mean_perplexity
ca_only,0.1,240,0.41252750000000005,0.9531870833333328,2.6232410576794023
ca_only,0.2,240,0.4046816666666668,0.9864966666666664,2.713817862884163
ca_only,0.3,240,0.3986708333333336,1.0514504166666663,2.9092629244243495
fullbackbone,0.1,240,0.463689583333333,0.8660983333333331,2.3968193103758284
fullbackbone,0.2,240,0.45917833333333363,0.8983020833333327,2.477616338740758
fullbackbone,0.3,240,0.45300166666666697,0.9541487500000003,2.6290014277045364
