model,mask_frac_pct,n_samples,n_proteins,mean_seq_recovery,mean_perplexity
ca_only,0,168,21,0.40149345238095246,2.655470383726521
ca_only,10,168,21,0.36275238095238094,3.17151136597543
ca_only,20,168,21,0.3078619047619048,3.5866622923225626
ca_only,30,168,21,0.2647732142857143,3.3072300206600835
fullbackbone,0,168,21,0.47057559523809533,2.422337970401666
fullbackbone,10,168,21,0.4433220238095239,2.931233477303251
fullbackbone,20,168,21,0.38536607142857143,3.506562015422327
fullbackbone,30,168,21,0.33636666666666687,3.585657740630981
